mep_id,parliamentary_term,start_date,end_date,political_group
4242,5,1999-07-20,2004-07-19,Group of the Party of European Socialists
4242,6,2004-07-20,2008-12-10,Socialist Group in the European Parliament
1365,10,1989-07-25,1994-07-18,Liberal and Democratic Reformist Group
1365,2,1987-09-14,1989-07-24,Liberal and Democratic Reformist Group
1365,3,1989-07-25,1994-07-18,Liberal and Democratic Reformist Group
1292,10,1999-07-20,2002-01-07,Group of the Greens/European Free Alliance
1292,10,2002-01-08,2004-07-19,Group of the Greens/European Free Alliance
1292,3,1989-07-25,1990-10-31,The Green Group in the European Parliament
1292,3,1990-11-01,1994-07-18,The Green Group in the European Parliament
1292,4,1994-07-19,1999-07-19,The Green Group in the European Parliament
1292,5,1999-07-20,2002-01-07,Group of the Greens/European Free Alliance
1292,5,2002-01-08,2004-07-19,Group of the Greens/European Free Alliance
758,10,1979-07-17,1980-05-18,Group of the European People's Party (Christian-Democratic Group)
758,1,1979-07-17,1980-05-18,Group of the European People's Party (Christian-Democratic Group)
2180,10,1994-07-19,1999-07-19,Group of the Party of European Socialists
2180,4,1994-07-19,1999-07-19,Group of the Party of European Socialists
2337,10,1999-07-20,2000-10-22,Group of the Greens/European Free Alliance
2337,10,2000-10-23,2004-07-19,Group of the Party of European Socialists
2337,4,1998-11-23,1999-07-19,The Green Group in the European Parliament
2337,5,1999-07-20,2000-10-22,Group of the Greens/European Free Alliance
2337,5,2000-10-23,2004-07-19,Group of the Party of European Socialists
188636,10,2019-07-02,2020-01-31,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
188636,8,2017-06-30,2019-07-01,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
188636,9,2019-07-02,2020-01-31,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
1869,10,1992-07-06,1994-07-18,The Green Group in the European Parliament
1869,3,1992-07-06,1994-07-18,The Green Group in the European Parliament
93543,10,2008-08-26,2009-07-13,Group of the Alliance of Liberals and Democrats for Europe
93543,6,2008-08-26,2009-07-13,Group of the Alliance of Liberals and Democrats for Europe
1183,10,2009-07-14,2014-06-30,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
1183,3,1989-07-25,1993-04-20,Socialist Group
1183,3,1993-04-21,1994-07-18,Group of the Party of European Socialists
1183,4,1994-07-19,1999-07-19,Group of the Party of European Socialists
1183,5,1999-07-20,2004-07-19,Group of the Party of European Socialists
1183,6,2004-07-20,2009-07-13,Socialist Group in the European Parliament
1183,7,2009-07-14,2014-06-30,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
1753,10,1984-07-24,1985-02-10,Group of the European People's Party (Christian-Democratic Group)
1753,10,1985-02-11,1988-06-06,Group of the European People's Party (Christian-Democratic Group)
1753,2,1984-07-24,1985-02-10,Group of the European People's Party (Christian-Democratic Group)
1753,2,1985-02-11,1988-06-06,Group of the European People's Party (Christian-Democratic Group)
197621,10,2024-07-16,,Group of the European People's Party (Christian Democrats)
197621,9,2019-07-02,2024-07-15,Group of the European People's Party (Christian Democrats)
124964,10,2014-07-01,2014-10-15,Europe of Freedom and Direct Democracy Group
124964,10,2014-10-16,2014-10-19,Non-attached Members
124964,10,2014-10-20,2019-07-01,Europe of Freedom and Direct Democracy Group
124964,8,2014-07-01,2014-10-15,Europe of Freedom and Direct Democracy Group
124964,8,2014-10-16,2014-10-19,Non-attached Members
124964,8,2014-10-20,2019-07-01,Europe of Freedom and Direct Democracy Group
129073,10,2024-07-16,,Renew Europe Group
129073,8,2014-11-03,2019-07-01,Group of the Alliance of Liberals and Democrats for Europe
129073,9,2019-07-02,2024-07-15,Renew Europe Group
938,10,1979-07-17,1984-07-23,Socialist Group
938,1,1979-07-17,1984-07-23,Socialist Group
197612,10,2019-07-02,2020-01-09,Non-attached Members
197612,10,2020-01-10,2020-01-31,European Conservatives and Reformists Group
197612,9,2019-07-02,2020-01-09,Non-attached Members
197612,9,2020-01-10,2020-01-31,European Conservatives and Reformists Group
197760,10,2019-07-02,2020-01-31,Non-attached Members
197760,9,2019-07-02,2020-01-31,Non-attached Members
1573,10,1984-07-24,1985-12-12,Liberal and Democratic Group
1573,10,1985-12-13,1989-07-24,Liberal and Democratic Reformist Group
1573,1,1979-07-17,1984-07-23,Liberal and Democratic Group
1573,2,1984-07-24,1985-12-12,Liberal and Democratic Group
1573,2,1985-12-13,1989-07-24,Liberal and Democratic Reformist Group
1488,10,1984-07-24,1989-07-24,Group of the European People's Party (Christian-Democratic Group)
1488,1,1981-02-17,1984-07-23,Group of the European People's Party (Christian-Democratic Group)
1488,2,1984-07-24,1989-07-24,Group of the European People's Party (Christian-Democratic Group)
113959,10,2019-07-02,2020-01-31,Group of the European United Left
113959,7,2012-06-12,2012-07-08,Confederal Group of the European United Left
113959,7,2012-07-09,2014-06-30,Confederal Group of the European United Left
113959,8,2014-07-01,2015-12-14,Confederal Group of the European United Left
113959,8,2015-12-15,2019-07-01,Confederal Group of the European United Left
113959,9,2019-07-02,2020-01-31,Group of the European United Left
28370,10,2009-07-14,2014-06-30,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
28370,6,2004-07-20,2009-07-13,Group of the Alliance of Liberals and Democrats for Europe
28370,7,2009-07-14,2014-06-30,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
23938,10,2009-07-14,2014-06-30,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
23938,5,2003-05-09,2003-07-09,Non-attached
23938,5,2003-07-10,2004-04-30,Group of the Party of European Socialists
23938,5,2004-05-01,2004-07-19,Group of the Party of European Socialists
23938,6,2004-07-20,2009-07-13,Socialist Group in the European Parliament
23938,7,2009-07-14,2014-06-30,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
197531,10,2019-07-02,2022-01-10,Group of the Greens/European Free Alliance
197531,10,2022-01-11,2024-07-15,Group of the Greens/European Free Alliance
197531,9,2019-07-02,2022-01-10,Group of the Greens/European Free Alliance
197531,9,2022-01-11,2024-07-15,Group of the Greens/European Free Alliance
1874,10,1994-07-19,1995-11-14,Group of the Party of European Socialists
