vote_id,code,interinstitutional_file_no,label,date,committee_responsible
38761,A9-0015/2019,2019/0180/COD,European Globalisation Adjustment Fund (2014-2020),2019-10-22,Employment and Social Affairs
38762,A9-0014/2019,2019/0187/COD,Fishing authorisations for Union fishing vessels in United Kingdom waters and fishing operations of United Kingdom fishing vessels in Union waters,2019-10-22,Fisheries
38763,A9-0018/2019,2019/0186/APP,Implementation and financing of the EU general budget in 2020 in relation to the UK's withdrawal from the EU,2019-10-22,Budgets
38764,C9-0108/2019,2019/0179/COD,Periods of application of Regulation (EU) 2019/501 and Regulation (EU) 2019/502,2019-10-22,Transport and Tourism
38765,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38766,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38767,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38768,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38769,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38770,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38771,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38772,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38773,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38774,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38775,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38776,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38777,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38778,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38779,0,0,Draft general budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38780,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38781,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38782,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38783,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38784,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38785,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38786,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38787,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38788,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38789,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38790,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38791,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38792,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38793,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38794,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
38795,A9-0017/2019 ,2019/2028/BUD,General budget of the European Union for 2020 - all sections,2019-10-23,Budgets
